name,book,page
Aarakocra,Mordenkainen Monsters of the Multiverse,6
Aasimar,Mordenkainen Monsters of the Multiverse,7
Astral Elf,Spelljammer - Adventures in Space,10
Autognome,Spelljammer - Adventures in Space,11
Bugbear,Mordenkainen Monsters of the Multiverse,8
Centaur,Mordenkainen Monsters of the Multiverse,9
Changeling,Mordenkainen Monsters of the Multiverse,10
Cyclops,Mordenkainens Almanac of Adventurers,4
Deep Gnome, Mordenkainen Monsters of the Multiverse,11
Dhampir,Mordenkainens Almanac of Adventurers,6
Duergar,Mordenkainen Monsters of the Multiverse,12
Eladrin,Mordenkainen Monsters of the Multiverse,13
Fairy, Mordenkainen Monsters of the Multiverse,14
Firbolg,Mordenkainen Monsters of the Multiverse,15
Genasi (Air), Mordenkainen Monsters of the Multiverse,16
Genasi (Earth), Mordenkainen Monsters of the Multiverse,17
Genasi (Fire), Mordenkainen Monsters of the Multiverse,18
Genasi (Water), Mordenkainen Monsters of the Multiverse,19
Giff,Spelljammer - Adventures in Space,12
Githyanki,Mordenkainen Monsters of the Multiverse,20
Githzerai,Mordenkainen Monsters of the Multiverse,21
Goblin,Mordenkainen Monsters of the Multiverse,22
Godborn,Mordenkainens Almanac of Adventurers,8
Goliath,Mordenkainen Monsters of the Multiverse,23
Hadozee,Spelljammer - Adventures in Space,13
Harengon,Mordenkainen Monsters of the Multiverse,24
Hexblood,Van Richtens Guide To Ravenloft,18
Hobgoblin,Mordenkainen Monsters of the Multiverse,25
Kalashtar,Eberron - Rising from the Last War,29
Kender,Dragonlance - Shadow of the Dragon Queen,27
Kenku,Mordenkainen Monsters of the Multiverse,26
Kobold,Mordenkainen Monsters of the Multiverse,27
Leonin,Mythic Odysseys of Theros,20
Lizardfolk,Mordenkainen Monsters of the Multiverse,28
Loxodons,Guildmasters Guide to Ravnica,17
Minotaur,Mordenkainen Monsters of the Multiverse,29
Orc,Mordenkainen Monsters of the Multiverse,30
Owlin,Strixhaven - A Curriculum of Chaos,29
Plasmoid,Spelljammer - Adventures in Space,14
Reborn,Van Richtens Guide To Ravenloft,20
Satyr,Mordenkainen Monsters of the Multiverse,31
Sea Elf,Mordenkainen Monsters of the Multiverse,32
Shadar-kai,Mordenkainen Monsters of the Multiverse,33
Shifter,Mordenkainen Monsters of the Multiverse,34
Simic Hybrids,Guildmasters Guide to Ravnica,20
Tabaxi,Mordenkainen Monsters of the Multiverse,35
Thri-Kreen,Spelljammer - Adventures in Space,15
Tortle,Mordenkainen Monsters of the Multiverse,36
Triton,Mordenkainen Monsters of the Multiverse,37
Vasharan,Mordenkainens Almanac of Adventurers,10
Vedalken,Guildmasters Guide to Ravnica,21
Yuan-ti,Mordenkainen Monsters of the Multiverse,38
