name,book,page
Corvum,Humblewood,12
Gallus,Humblewood,14
Luma,Humblewood,16
Raptor,Humblewood,18
Strig,Humblewood,20
Cervan,Humblewood,22
Hedge,Humblewood,24
Jerbeen,Humblewood,27
Mapach,Humblewood,28
Vulpin,Humblewood,30
Eluran,Humblewoord Playtest January 2024,3
Seeta,Humblewoord Playtest January 2024,5
Slyphe,Humblewoord Playtest April 2024,5
Tilia,Humblewoord Playtest April 2024,6
Rockburrow,Humblewoord Playtest April 2024,8
Capran,Humblewoord Playtest July 2024,5
Arma Hedge,Humblewoord Playtest July 2024,7
Mustel,Humblewoord Playtest September 2024,5
Pexian,Humblewoord Playtest January 2025,5
Webpaws Mustel,Humblewoord Playtest February 2025,5
Lunin,Humblewoord Playtest March 2025,5
Arkton,Humblewoord Playtest April 2025,5
Greno,Humblewoord Playtest May 2025,5
Almare,Humblewoord Playtest June 2025,5
Porchini,Humblewoord Playtest July 2025,5
Roden,Humblewoord Playtest August 2025,5
Rhopala,Humblewoord Playtest September 2025,5
Vesper,Humblewoord Playtest October 2025,5
Gwin,Humblewoord Playtest November 2025,5
Marshfoot Gallus,Humblewoord Playtest December 2025,5

